artist_name,track_name,release_date,genre,lyrics
Geographer,The Guest,2015,classic soul,my days are like a drum that i beat on til my hands are numb ive been trying to get pity from the stars but all im moving is my own heart i waited hours to not know i waited here cause i had nowhere else to go i just want someone to call my own meager consolation for being born everything keeps happening whether your eyes are closed or open is it a game or a burden if theres an end there must be a beginning 
Common,Real,2014,classic soul,you niggas ain t real i think you need to stop pretending these niggas ain t ill we know the deal niggas ain t on here today and the next you re gone cause you niggas ain t real and we know the deal yeah we know the deal 87 strip walker i m a shit talker fuck all night yo depending what im off of had a white girl i tossed her black girl i lost her break bread with the stones i m the rock of gibraltar salt of the earth for what it s worth yo from birth i was first with a verse live niggas don t rehearse wear the prophets on the shirt yeah yeah that s the creed i can give a fuck if it s real or a weave i tell you when you look good and keep it right there i m as important to the chi as my nigga mike air jordan 3s on the feet as we breeze down lake shore these are the days that we bake more to make more i been living in the moment lately it s like the love and the hate seem to motivate me lady lady that body crazy you been working out of this thing if you re not tell me if you re really real you niggas ain t real i think you need to stop pretending these niggas ain t ill we know the deal niggas ain t on here today and the next you re gone cause you niggas ain t real and we know the deal yeah we know the deal  i m the sole controller opposite of sober flow from the south side to south angola mami wanna strip then yeah i ma poke her and go all in and stretch it out like yoga i m flexing sexing oiled up like texas survivor soldier a child is destined a star is born in a chicago storm the name is common i m anything but the norm uh six in the mornin something warm informin i m sweating like i m performin on tour and y all fucking with this like porn put your fists up cause you know i ride on new planes and plateaus made it through the black hole i rhyme in a timeless capsule i rap for niggas in the barber shops and broads that s hot i run the town i m a fucking juggernaut this shit is real you niggas ain t real i think you need to stop pretending these niggas ain t ill we know the deal niggas ain t on here today and the next you re gone cause you niggas ain t real and we know the deal yeah we know the deal you niggas ain t real i think you need to stop pretending these niggas ain t ill we know the deal niggas ain t on here today and the next you re gone cause you niggas ain t real and we know the deal yeah we know the deal7
Ralph,Tease,2017,classic soul,i ll confess your sweet talk had me weak in the knees but my friend got the same text cut and copied cause you re writing love notes to every girl on the block baby you should know us girls we talk secrets out baby please you re just a tease you re just a tease you sure think that you got what the ladies want always talking about your dog and your restaurant oh you think you re pretty smooth and you re on a roll but this town is really small and we all know boy come on please you re just a tease you re just a tease you re just a tease maybe you were shy back in high school always stuck in the friendzone but if you keep this up you re gonna end up alone you spin vinyl but that still doesn t make you cool you talk art but maybe stop cause you sound like a fool when you first moved to town you had has wrapped around your finger like the ring you re hiding now we all know baby please you re just a tease you re just a tease you re just a tease you re just a tease you re just a tease you re just a tease
Joe,Grown Up Christmas List,2009,classic soul,do you remember when i sat upon your knee i wrote to you with childhood fantasies well i m all grownup now and i still need help somehow i m not a child but my heart still can dream so here s my lifelong wish my grown up christmas list not for myself but for a world in need no more lives torn apart that wars would never start and time would heal all hearts and everyone would have a friend and right would always win and love would never end this is my grown up christmas list as children we believed the grandest sight to see was something lovely wrapped beneath our tree well heaven surely knows that packages and bows can never heal a hurting human soul no more lives torn apart that wars would never start and time would heal all hearts and everyone would have a friend and right would always win and love would never end this is my grown up christmas list what is this illusion called the innocence of youth maybe only in our blind belief can we ever find the truth no more lives torn apart that wars would never start and time would heal all hearts everyone would have a friend and right would always win and love would never end whoa one this is my grown up christmas list my one and only christmas wish this is my grown up christmas list
Brian McKnight,"O Come, All Ye Faithful",2008,classic soul,o come all ye faithful joyful and triumphant o come ye oh come ye to bethlehem come and behold him born the king of angels o come let us adore him o come let us adore him o come let us adore him christ the lord o yea lord we bless thee born for our salvation o jesus forever be thy name adored word of the father now in flesh appearing o come let us adore him o come let us adore him o come let us adore him christ the lord
Brian McKnight,Bethlehem Tonight,1998,classic soul,virgin mary was laden with child the prophecy had been foretold the one who had come to save our lives was born in the manger so low and as sure as the stars are in the sky valleys low and mountains high the newborn king was born in bethlehem tonight silent night holy night bethlehem tonight silent night holy night three kings brought gifts from far away a boy came to play upon his drum skeptics saw truth and had nothing to say the wonderful savior had come and as sure as the stars are in the sky valleys low and mountains high the newborn king was born in bethlehem tonight silent night holy night bethlehem tonight silent night holy night behold our redeemer from sin there was no room in the inn but still he left his throne on high shed his blood to save our lives our lives in bethlehem tonight  silent night holy night silent night holy night silent night holy night silent night holy night silent night holy night silent night holy night silent night holy night silent night holy night
Nina Simone,Our Love,1964,classic soul,anytime things go wrong baby we ll still get along cause we have each other and our love will see us through if some tears come our way if the sun skips a day we still have each other and our love will see us through just as long as you and i have a little tender kiss to share there s no doubt at all that we ll get by grey skies will all turn bare so when some clouds bring the rain we ve no cause to complain cause we have each other and our love will see us through cause we have each other and our love will see us through cause we 
Buddy Guy,When I Left Home,1981,classic soul,blind man standin on on the corner he said i don t ah i don t need a dollar and don t you give me a dime until you bring back that little girl ow my yeah yeah yeah the people try to tell me to stop cryin and find me someone new cause when the good lord made one woman halleluja don t you know he made two and i can t let her go no no lord lord know i can t let her go yeah and i can t let her go no no no lord lord lord lord i can t let her go no hey oh baby oh baby little darling i wanna do you yes know what a shape i m in lord lord i ve been standin here oh i think about you baby yeah just for the hell of it aha you know when i left home i left the country and there was a a thing about the blues you know my mother and father are no longer with me to share this problem and but they did tell me sometime ago says a go ahead alone you know what they said a you may not be the best in town just try to be the best buddy until it s about to come around and i can t let it go no no lord yeah yeah and i can t let it go no no no lord lord lord i can t let her go no yeah and i can t let it go no no lord lord i can t let my baby go no no no no no hey hey hey hey hey oh baby shhh huh huh awwwaw how how he he he baby yeah come on fellows play a while now yeah awwwww ohhhh shhh come on come on fellows come on come on tell me about it i lord i was blind and i could not see ohh but long as i play the blues it s alright with me hey hey
Teena Marie,Young Love,1980,classic soul,ooh hoo hoo hoo ooh hoo yeah yeah i remember back in school when i first laid my eyes on you i saw your smile and knew right then and there you reached out and touched my hand and two became just one person no one could have stopped our love affair but lately we can t even see each other no without acting just like distant lovers we ve even took to fighting under covers what a shame baby who s to blame young love why you wanna grow old on me now young love why you wanna grow old on me now don t say goodbye my love no no no baby just one more try young love i remember promises the way i d feel when we d caress i can t imagine where young love went wrong you said that you needed me but where is the sincerity i i guess that with our love that too has flown cause lately we can t even touch each other without acting just like distant lovers we ve even took to fighting under covers what a shame baby who s to blame  young love why you wanna grow old on me now young love why you wanna grow old on me now don t say goodbye my love no no no baby just one more try young love do you remember the young love do you remember the love we shared do you remember the young love do you remember the love we shared do you remember the young love do you remember the love we shared do you remember the young love do you remember the love we shared do you remember the young love do you remember the love we shared do you remember the young love do you remember the love we shared don t you think we ought to give it one more try we ve come too far to be saying bye give it on more try ooh don t you remember baby young love was much better ooh my love why you wanna grow old on me why you wanna keep me in misery why you wanna say goodbye why you want to make me cry baby young love my love your love why you wanna say goodbye why you want to make me cry baby i m cryin baby i m cryin baby i m cryin young love i m cryin young love i m cryin young love i m cryin young love don t say goodbye please2
Fat Night,On The Run,2015,classic soul,it would ve been another night staring at the ceiling what a feeling instead my head s hanging out the window of a plane flying high in the sky it would ve been another day staring at the sun getting nothing done talking to your honey bun instead i m fleeing the scene living a dream it s got me feeling like i m on the run having so much fun i m on the run having so much fun on the run having so much fun i m on the run can t take it today i ll have to say you ll take too long i ll wait for your song i m on the run having so much fun on the run having so much fun on the run having so much fun on the run having so much fun can t take it today i ll have to say you ll take too long i ll wait for your song can t take it today i ll have to say you ll take too long i ll wait for your song1
